year,total,white,black,hispanic,male,female,census_base_change
1996,1115,210,177,1607,727,388,0
1997,468,269,18,452,423,46,0
1998,-299,-292,-16,-7,-128,-171,0
1999,307,99,73,-164,-183,491,0
2003,3540,1492,-706,2030,1780,2008,1
2004,-560,-445,-60,-583,-170,-363,0
2005,-8,29,-2,-54,-12,3,0
2006,-67,-12,7,-108,-24,-28,0
2007,321,215,6,188,101,184,0
2008,-745,-436,-101,-349,-437,-257,0
2009,-483,-242,-43,-319,-277,-172,0
2010,-258,-274,56,-212,-227,-125,0
2011,-347,-328,19,-269,-110,-342,0
2012,1510,-1181,407,1330,-116,1626,1
2013,138,-164,63,-218,41,98,0
2014,2,-65,48,-57,29,-27,0
2015,528,139,114,243,173,354,0
2016,265,73,47,36,157,108,0
2017,-831,-469,-76,-352,-403,-428,0
2018,488,194,104,328,296,192,0
2019,-800,-455,-119,-275,-412,-389,0
2020,-811,-461,-59,-323,-403,-408,0
2021,-476,-203,-45,-187,-223,-252,0
2022,973,538,205,362,1359,-386,1
2023,954,309,153,291,869,84,0
2024,-625,-487,-74,194,-633,9,0
2025,2871,1419,392,1277,1470,1400,0
2026,-231,-5642,-655,403,-1540,1309,1
